entity	layer	cells	best_alpha_topk	best_relprob_topk	best_alpha_top1	best_relprob_top1	baseline_relprob	wrong_relprob_at_best_topk	success_topk	topk_needed
Cape Town	3	L3-N9847,L3-N9483,L3-N3847,L3-N6973,L3-N18794	4.0	0.353900799437419	4.0	0.38046356567728595	0.022628665858199646	0.02100069548913765	1	0
Alien	3	L3-N10404,L3-N18434,L3-N14847,L3-N15844,L3-N1047	2.0	0.345135969139339	2.0	0.2959523798272295	0.04723166110405966	0.07361187606828368	1	1
Rocky	3	L3-N6169,L3-N3324,L3-N18717,L3-N15245,L3-N17374	2.0	0.3447946016315094	2.0	0.3351505508643716	0.17041518158199703	0.14677534674607423	1	0
Toy Story	3	L3-N2434,L3-N9852,L3-N8228,L3-N12071,L3-N6513	2.0	0.31050806675200693	2.0	0.1541738269174984	0.06273549172112822	0.029657991468826972	1	1
Barcelona	3	L3-N13144,L3-N3109,L3-N915,L3-N3739,L3-N14087	8.0	0.3053811885075393	8.0	0.25778604585530246	0.0008869199609465082	0.002484466824261231	1	1
The Mist	2	L2-N13859,L2-N3343,L2-N7957,L2-N12628,L2-N56	1.0	0.3001641667728929	1.0	0.30620861184134757	0.21505805753474425	0.2290629193811164	1	0
Scooby-Doo	2	L2-N18490,L2-N7500,L2-N9919,L2-N2643,L2-N8307	1.0	2.9047486940408787	1.0	2.9038217608071415	2.756842096216184	7.3099055743042465	0	0
San Francisco	1	L1-N9914,L1-N13014,L1-N15898,L1-N7600,L1-N13606	1.0	1.8575591643982585	1.0	1.8740144716764389	1.8104619776047395	1.0208172588784201	0	0
Peter	2	L2-N13512,L2-N5859,L2-N17177,L2-N15575,L2-N16037	16.0	1.6354506921232872	16.0	1.6379019506036268	1.3471694193988237	1.6760474514508281	0	0
Paul	1	L1-N18738,L1-N3580,L1-N3035,L1-N16860,L1-N2329	16.0	1.5546529511691163	16.0	1.5520168825034892	0.7730718803528774	1.5338518011916853	0	0
The Departed	5	L5-N2625,L5-N14915,L5-N14759,L5-N2275,L5-N5477	2.0	1.4589644803586184	2.0	1.2694814273386914	0.8296269556815554	1.4946290023261863	0	0
Babylon	3	L3-N11790,L3-N7205,L3-N3834,L3-N15988,L3-N13263	2.0	1.4108133645222443	2.0	1.4093833055927656	1.286764222280206	1.4594899576047495	0	0
Let It Be	5	L5-N11669,L5-N9946,L5-N1986,L5-N9580,L5-N637	32.0	1.1146861841064861	32.0	1.1120771756886174	0.8815176130245158	1.1608251881276106	0	0
Paris	1	L1-N231,L1-N8699,L1-N3462,L1-N6324,L1-N6727	1.0	1.0721018975991057	1.0	1.0697751970146903	1.7418040297024926	2.1082776485418475	0	0
The Omen	3	L3-N5504,L3-N484,L3-N1500,L3-N8900,L3-N11169	1.0	0.9070215434473594	2.0	0.8757229419942281	1.0646542026253298	1.1060126212669699	0	0
Friends	5	L5-N9314,L5-N13540,L5-N6851,L5-N14759,L5-N11900	1.0	0.887029539664154	1.0	0.8674970981793125	0.7662648719575417	1.125516103029918	0	0
Suits	2	L2-N9620,L2-N7706,L2-N3334,L2-N10537,L2-N12278	32.0	0.7815535566192899	32.0	0.7978959800856054	0.05680120094747815	1.01904127218422	0	0
Up	2	L2-N14580,L2-N13964,L2-N2338,L2-N15789,L2-N4501	1.0	0.715336221076161	1.0	0.721662499277947	0.667207835097253	0.9316733501998651	0	0
Thomas Jefferson	2	L2-N11279,L2-N15439,L2-N5598,L2-N15958,L2-N9606	1.0	0.38136104896495965	1.0	0.3817514036542085	0.2278738744251415	0.5820633648769525	0	0
The Thing	5	L5-N10410,L5-N2275,L5-N1468,L5-N18443,L5-N14759	1.0	0.3176790532436824	1.0	0.33067296137913266	0.2921984488581042	0.3120332567102636	0	0
Pittsburgh	1	L1-N8853,L1-N16727,L1-N4371,L1-N13701,L1-N4631	2.0	0.2794934716498399	2.0	0.2800076158557036	0.07322793826239479	0.010412819540986563	0	0
Edgar Allan Poe	5	L5-N16637,L5-N14765,L5-N5642,L5-N9979,L5-N3161	4.0	0.2543851163841216	4.0	0.2541719000296226	0.09511181418150386	0.08415669072236051	0	0
Bertrand Russell	3	L3-N15419,L3-N65,L3-N9751,L3-N14754,L3-N12153	2.0	0.23826778234519796	2.0	0.23754180109045597	0.05557204910717625	0.10184929402937849	0	0
Rome	4	L4-N5848,L4-N9165,L4-N5917,L4-N11188,L4-N3511	4.0	0.20522323353855773	4.0	0.20904060716326112	0.005902120116592572	0.008513334072529738	0	0
Carrie	3	L3-N18279,L3-N11112,L3-N4639,L3-N17714,L3-N10434	1.0	0.20047313559886928	1.0	0.20040787897704715	0.048480646654859	0.8358433320294816	0	0
Idaho	4	L4-N649,L4-N639,L4-N390,L4-N7365,L4-N12482	2.0	0.1998737072964682	2.0	0.19972560008586696	0.010051725979174107	0.01025946235188494	0	0
Delhi	4	L4-N7686,L4-N8247,L4-N9931,L4-N12011,L4-N18808	4.0	0.19685031513937928	4.0	0.1677579060115937	0.006908763786836187	0.011044309382375526	0	0
Vienna	1	L1-N18529,L1-N13667,L1-N15349,L1-N2319,L1-N17331	8.0	0.18917823537723594	8.0	0.20201202122859022	0.012416393291464654	0.03786160213030392	0	0
The Fog	1	L1-N10964,L1-N18498,L1-N8018,L1-N15658,L1-N3332	1.0	0.1857579092768133	1.0	0.1810894959911371	0.14909403185458495	0.14542147419730478	0	0
T. S. Eliot	1	L1-N12920,L1-N17504,L1-N983,L1-N13156,L1-N8318	2.0	0.1758295636249555	2.0	0.1764281852831063	0.03219218714664008	0.01395904752720526	0	0
Abraham Lincoln	3	L3-N12305,L3-N1019,L3-N12087,L3-N6906,L3-N14675	8.0	0.16193055979950272	8.0	0.1619658080032181	0.09537699447296714	0.0711189597605156	0	0
Breaking Bad	2	L2-N12152,L2-N2862,L2-N15890,L2-N14379,L2-N573	1.0	0.15995190917431762	1.0	0.16188340002938495	0.11286588333902152	0.1652666729462865	0	0
Rent	2	L2-N11038,L2-N6636,L2-N6913,L2-N11688,L2-N11254	2.0	0.15880782199617838	2.0	0.16167681307740656	0.009590336559346038	0.008161856887423855	0	0
Florence	1	L1-N10577,L1-N11498,L1-N17282,L1-N7453,L1-N12430	8.0	0.15574507888755032	8.0	0.1587926598515344	0.004572706468598287	0.006504292124716473	0	0
Donald Trump	1	L1-N11948,L1-N17475,L1-N1383,L1-N9033,L1-N7251	4.0	0.1556546273301553	4.0	0.15622528062076696	0.013807143016197987	0.011825451531239069	0	0
The Terminal	2	L2-N16927,L2-N12123,L2-N7820,L2-N12545,L2-N18520	1.0	0.151006265854292	1.0	0.14880877783953286	0.06591237820563983	0.14347071790799568	0	0
Frozen	2	L2-N16115,L2-N7649,L2-N14980,L2-N14796,L2-N13013	16.0	0.14107931107135774	4.0	0.1422339975179736	0.10625961761435847	0.12591641974505735	0	0
The Prestige	1	L1-N1538,L1-N11966,L1-N5494,L1-N14016,L1-N18082	1.0	0.1302391904760058	1.0	0.1307551345460996	0.16628764436946308	0.13043894521122468	0	0
Stockholm	5	L5-N14077,L5-N6,L5-N290,L5-N15507,L5-N14269	4.0	0.10087024706806205	4.0	0.0981273423701116	0.005301062502599236	0.0024411974510976727	0	0
Michael Jackson	2	L2-N1224,L2-N13372,L2-N8036,L2-N18385,L2-N7945	2.0	0.09088027953207961	2.0	0.09259815045458454	0.04385213137780876	0.014913861864184415	0	0
Final Destination	2	L2-N12738,L2-N9011,L2-N17194,L2-N249,L2-N4007	1.0	0.08109598987982855	1.0	0.08123478440995276	0.09375274251944155	0.11021908157145649	0	0
Neon Genesis Evangelion	4	L4-N4605,L4-N15783,L4-N6585,L4-N2675,L4-N1301	2.0	0.077674885488775	4.0	0.05462694919273711	0.06418394556869679	0.051963465056305176	0	0
Dallas	3	L3-N3153,L3-N13529,L3-N9190,L3-N7660,L3-N591	8.0	0.07422235268539905	8.0	0.07443906860234933	0.0005281458352817935	0.002840841855901684	0	0
Al Gore	1	L1-N11620,L1-N2774,L1-N18532,L1-N14978,L1-N7202	2.0	0.06990017855551292	2.0	0.06990096644345568	0.015479275730287597	0.0036582035205229052	0	0
The Fly	2	L2-N10777,L2-N9233,L2-N9518,L2-N3862,L2-N4213	4.0	0.0630966451615668	4.0	0.06312778983592773	0.03270451180853372	0.02872761843013037	0	0
Minnesota	2	L2-N5780,L2-N2022,L2-N10248,L2-N3892,L2-N14102	4.0	0.06127196703707512	4.0	0.06176585066006852	0.03011386053807247	0.027402579570863877	0	0
Cars	1	L1-N18321,L1-N14458,L1-N14048,L1-N6148,L1-N14852	8.0	0.05248255427859722	8.0	0.05223710322913947	0.03422010172972333	0.022716283239081744	0	0
Billy Joel	2	L2-N8277,L2-N312,L2-N9085,L2-N13415,L2-N17661	1.0	0.05202883931279078	1.0	0.05185499671408181	0.05762831945000868	0.03647665709114977	0	0
Montana	2	L2-N13501,L2-N1917,L2-N17147,L2-N397,L2-N12529	8.0	0.05127851190306825	8.0	0.05140223481469767	0.0010916117952213665	4.399515379741759e-05	0	0
Into the Wild	1	L1-N8382,L1-N11130,L1-N11162,L1-N3089,L1-N250	16.0	0.04519940993478655	16.0	0.0451984506994749	0.03925558196573272	0.045745380035865	0	0
George VI	1	L1-N467,L1-N12432,L1-N2488,L1-N4284,L1-N14294	1.0	0.04467004547068224	1.0	0.04467724514866938	0.04033144444288448	0.0315931208758135	0	0
Lost	1	L1-N5217,L1-N7951,L1-N756,L1-N10915,L1-N3931	4.0	0.03983214571985924	4.0	0.0361572031958866	0.02264419419728861	0.012794453019112485	0	0
E.T. the Extra-Terrestrial	1	L1-N4102,L1-N3414,L1-N9775,L1-N4468,L1-N10674	1.0	0.031523209032787755	1.0	0.03126259686402332	0.04175496116532625	0.0359401355538288	0	0
Will Smith	3	L3-N15898,L3-N7951,L3-N9996,L3-N18030,L3-N5350	1.0	0.017402692015550964	1.0	0.01913279371314927	0.010101415513129524	0.00473764748192348	0	0
Puerto Rico	2	L2-N7844,L2-N4274,L2-N16106,L2-N5762,L2-N3195	64.0	0.01691312221135787	64.0	0.016933375259141323	0.02482213310005821	0.018653873092260756	0	0
Turin	3	L3-N18612,L3-N13678,L3-N14015,L3-N9388,L3-N3905	2.0	0.0164721477832045	2.0	0.015907081065211135	0.0012446402881837724	0.0011282699449802834	0	0
Byzantine Empire	2	L2-N1260,L2-N7396,L2-N4253,L2-N17455,L2-N7860	8.0	0.014770962843201582	8.0	0.014804694119821252	0.0028729345163093474	0.0027244773008648126	0	0
The Birds	2	L2-N8054,L2-N7369,L2-N13487,L2-N17599,L2-N3787	1.0	0.0029341133570254217	1.0	0.002936433814737562	0.0026787702194838747	0.003341899617331309	0	0
Happy Birthday to You	5	L5-N2162,L5-N18443,L5-N10603,L5-N14439,L5-N16213	1.0	0.002345320103327645	1.0	0.002338342955134272	0.0024329141811556165	0.0014828621290495943	0	0
Léon: The Professional	2	L2-N9734,L2-N775,L2-N9859,L2-N10944,L2-N16360	1.0	0.0021608602060312785	1.0	0.0021618256783536185	0.001621395852310294	0.0008372733803883539	0	0
