model	f2_n	f2_pct_layer_le_6	f2_median_layer	f4_n_entities	f4_n_examples	f4_rel_noinj	f4_rel_mean	f4_rel_correct	f4_rel_wrong	f4_delta_correct_minus_wrong	f4_success_pct	f4_success_k_over_n	variant_match_k_over_n	variant_match_pct
Qwen2.5-7B-Inst	200	69.5	3.0	40	40	0.154	0.138	0.781	0.309	0.472	67.5	27/40	10/10	100.0
OLMo-7B	200	73.0	2.0	37	37	0.073	0.073	0.661	0.117	0.544	62.2	23/37	3/10	30.0
Llama-3.1-8B-Inst	200	33.5	11.0	40	40	0.016	0.018	0.034	0.018	0.016	12.5	5/40	5/10	50.0
Gemma-2-9B-it	200	48.5	7.5	40	40	0.029	0.029	0.029	0.028	0.001	10.0	4/40	5/10	50.0
Mistral-7B-v0.3	200	36.0	13.0	40	40	0.022	0.021	0.033	0.026	0.006	12.5	5/40	4/10	40.0
OpenLLaMA-7B	200	43.0	10.0	33	33	3.533	3.575	5.018	4.903	0.116	36.4	12/33	3/10	30.0
